"7,32,3,1,1,16,3,32",8.81E+04,
"7,32,3,1,1,9,3,32",0.00E+00,
"7,32,3,1,1,8,3,32",0.00E+00,
"7,32,3,1,1,4,3,32",0.00E+00,
"7,16,3,1,1,16,3,32",0.00E+00,
"7,16,3,1,1,9,3,32",0.00E+00,
"7,16,3,1,1,8,3,32",0.00E+00,
"7,16,3,1,1,4,3,32",0.00E+00,
"7,8,3,1,1,16,3,32",0.00E+00,
"7,8,3,1,1,9,3,32",0.00E+00,
"7,8,3,1,1,8,3,32",0.00E+00,
"7,8,3,1,1,4,3,32",0.00E+00,
"7,4,3,1,1,16,3,32",0.00E+00,
"7,4,3,1,1,9,3,32",0.00E+00,
"7,4,3,1,1,8,3,32",0.00E+00,
"7,4,3,1,1,4,3,32",0.00E+00,
"7,2,3,1,1,16,3,32",0.00E+00,
"7,2,3,1,1,9,3,32",0.00E+00,
"7,2,3,1,1,8,3,32",0.00E+00,
"7,2,3,1,1,4,3,32",0.00E+00,
"7,1,3,1,1,16,3,32",0.00E+00,
"7,1,3,1,1,9,3,32",0.00E+00,
"7,1,3,1,1,8,3,32",0.00E+00,
"7,1,3,1,1,4,3,32",0.00E+00,
"0,32,3,1,1,16,32,32",6.23E+05,
"0,32,3,1,1,9,32,32",1.21E+06,
"0,32,3,1,1,8,32,32",1.21E+06,
"0,32,3,1,1,4,32,32",2.39E+06,
"0,16,3,1,1,16,32,32",1.56E+05,
"0,16,3,1,1,9,32,32",3.03E+05,
"0,16,3,1,1,8,32,32",3.03E+05,
"0,16,3,1,1,4,32,32",5.98E+05,
"0,8,3,1,1,16,32,32",3.89E+04,
"0,8,3,1,1,9,32,32",7.58E+04,
"0,8,3,1,1,8,32,32",7.58E+04,
"0,8,3,1,1,4,32,32",1.50E+05,
"0,4,3,1,1,16,32,32",9.73E+03,
"0,4,3,1,1,9,32,32",1.89E+04,
"0,4,3,1,1,8,32,32",1.89E+04,
"0,4,3,1,1,4,32,32",3.74E+04,
"0,2,3,1,1,16,32,32",9.73E+03,
"0,2,3,1,1,9,32,32",1.89E+04,
"0,2,3,1,1,8,32,32",1.89E+04,
"0,2,3,1,1,4,32,32",3.74E+04,
"0,1,3,1,1,16,32,32",9.25E+03,
"0,1,3,1,1,9,32,32",9.26E+03,
"0,1,3,1,1,8,32,32",9.26E+03,
"0,1,3,1,1,4,32,32",9.25E+03,
"1,32,3,1,0,16,32,32",5.54E+04,
"1,32,3,1,0,9,32,32",7.60E+04,
"1,32,3,1,0,8,32,32",7.60E+04,
"1,32,3,1,0,4,32,32",1.17E+05,
"1,16,3,1,0,16,32,32",1.50E+04,
"1,16,3,1,0,9,32,32",1.96E+04,
"1,16,3,1,0,8,32,32",1.96E+04,
"1,16,3,1,0,4,32,32",2.88E+04,
"1,8,3,1,0,16,32,32",4.35E+03,
"1,8,3,1,0,9,32,32",5.50E+03,
"1,8,3,1,0,8,32,32",5.50E+03,
"1,8,3,1,0,4,32,32",7.81E+03,
"1,4,3,1,0,16,32,32",1.44E+03,
"1,4,3,1,0,9,32,32",1.73E+03,
"1,4,3,1,0,8,32,32",1.73E+03,
"1,4,3,1,0,4,32,32",2.30E+03,
"1,2,3,1,0,16,32,32",1.44E+03,
"1,2,3,1,0,9,32,32",1.73E+03,
"1,2,3,1,0,8,32,32",1.73E+03,
"1,2,3,1,0,4,32,32",2.30E+03,
"1,1,3,1,0,16,32,32",3.06E+03,
"1,1,3,1,0,9,32,32",3.06E+03,
"1,1,3,1,0,8,32,32",3.06E+03,
"1,1,3,1,0,4,32,32",3.06E+03,
"2,32,5,1,1,16,32,32",1.67E+06,
"2,32,5,1,1,9,32,32",3.31E+06,
"2,32,5,1,1,8,32,32",3.31E+06,
"2,32,5,1,1,4,32,32",6.59E+06,
"2,16,5,1,1,16,32,32",4.18E+05,
"2,16,5,1,1,9,32,32",8.27E+05,
"2,16,5,1,1,8,32,32",8.27E+05,
"2,16,5,1,1,4,32,32",1.65E+06,
"2,8,5,1,1,16,32,32",1.04E+05,
"2,8,5,1,1,9,32,32",2.07E+05,
"2,8,5,1,1,8,32,32",2.07E+05,
"2,8,5,1,1,4,32,32",4.12E+05,
"2,4,5,1,1,16,32,32",2.58E+04,
"2,4,5,1,1,9,32,32",2.58E+04,
"2,4,5,1,1,8,32,32",2.58E+04,
"2,4,5,1,1,4,32,32",2.58E+04,
"2,2,5,1,1,16,32,32",2.58E+04,
"2,2,5,1,1,9,32,32",2.58E+04,
"2,2,5,1,1,8,32,32",2.58E+04,
"2,2,5,1,1,4,32,32",2.58E+04,
"2,1,5,1,1,16,32,32",2.57E+04,
"2,1,5,1,1,9,32,32",2.57E+04,
"2,1,5,1,1,8,32,32",2.57E+04,
"2,1,5,1,1,4,32,32",2.57E+04,
"3,32,5,1,0,16,32,32",9.27E+04,
"3,32,5,1,0,9,32,32",1.48E+05,
"3,32,5,1,0,8,32,32",1.48E+05,
"3,32,5,1,0,4,32,32",2.46E+05,
"3,16,5,1,0,16,32,32",2.56E+04,
"3,16,5,1,0,9,32,32",3.84E+04,
"3,16,5,1,0,8,32,32",3.84E+04,
"3,16,5,1,0,4,32,32",6.14E+04,
"3,8,5,1,0,16,32,32",7.81E+03,
"3,8,5,1,0,9,32,32",1.10E+04,
"3,8,5,1,0,8,32,32",1.10E+04,
"3,8,5,1,0,4,32,32",1.74E+04,
"3,4,5,1,0,16,32,32",1.96E+03,
"3,4,5,1,0,9,32,32",2.00E+03,
"3,4,5,1,0,8,32,32",2.00E+03,
"3,4,5,1,0,4,32,32",2.08E+03,
"3,2,5,1,0,16,32,32",1.96E+03,
"3,2,5,1,0,9,32,32",2.00E+03,
"3,2,5,1,0,8,32,32",2.00E+03,
"3,2,5,1,0,4,32,32",2.08E+03,
"3,1,5,1,0,16,32,32",3.10E+03,
"3,1,5,1,0,9,32,32",3.10E+03,
"3,1,5,1,0,8,32,32",3.10E+03,
"3,1,5,1,0,4,32,32",3.10E+03,
"5,32,1,1,0,16,32,32",9.83E+04,
"5,32,1,1,0,9,32,32",1.64E+05,
"5,32,1,1,0,8,32,32",1.64E+05,
"5,32,1,1,0,4,32,32",9.83E+04,
"5,16,1,1,0,16,32,32",2.46E+04,
"5,16,1,1,0,9,32,32",4.10E+04,
"5,16,1,1,0,8,32,32",4.10E+04,
"5,16,1,1,0,4,32,32",2.46E+04,
"5,8,1,1,0,16,32,32",6.14E+03,
"5,8,1,1,0,9,32,32",1.02E+04,
"5,8,1,1,0,8,32,32",1.02E+04,
"5,8,1,1,0,4,32,32",6.14E+03,
"5,4,1,1,0,16,32,32",1.54E+03,
"5,4,1,1,0,9,32,32",2.56E+03,
"5,4,1,1,0,8,32,32",2.56E+03,
"5,4,1,1,0,4,32,32",4.61E+03,
"5,2,1,1,0,16,32,32",1.06E+03,
"5,2,1,1,0,9,32,32",1.09E+03,
"5,2,1,1,0,8,32,32",1.09E+03,
"5,2,1,1,0,4,32,32",1.15E+03,
"5,1,1,1,0,16,32,32",1.04E+03,
"5,1,1,1,0,9,32,32",1.04E+03,
"5,1,1,1,0,8,32,32",1.04E+03,
"5,1,1,1,0,4,32,32",1.04E+03,
"8,32,1,1,0,16,32,32",4.92E+04,
"8,32,1,1,0,9,32,32",8.19E+04,
"8,32,1,1,0,8,32,32",8.19E+04,
"8,32,1,1,0,4,32,32",1.47E+05,
"8,16,1,1,0,16,32,32",1.23E+04,
"8,16,1,1,0,9,32,32",2.05E+04,
"8,16,1,1,0,8,32,32",2.05E+04,
"8,16,1,1,0,4,32,32",3.69E+04,
"8,8,1,1,0,16,32,32",3.07E+03,
"8,8,1,1,0,9,32,32",5.12E+03,
"8,8,1,1,0,8,32,32",5.12E+03,
"8,8,1,1,0,4,32,32",9.22E+03,
"8,4,1,1,0,16,32,32",7.68E+02,
"8,4,1,1,0,9,32,32",1.28E+03,
"8,4,1,1,0,8,32,32",1.28E+03,
"8,4,1,1,0,4,32,32",2.30E+03,
"8,2,1,1,0,16,32,32",5.44E+02,
"8,2,1,1,0,9,32,32",5.44E+02,
"8,2,1,1,0,8,32,32",5.44E+02,
"8,2,1,1,0,4,32,32",5.76E+02,
"8,1,1,1,0,16,32,32",5.28E+02,
"8,1,1,1,0,9,32,32",5.28E+02,
"8,1,1,1,0,8,32,32",5.28E+02,
"8,1,1,1,0,4,32,32",5.28E+02,
"9,32,1,1,0,16,32,32",9.83E+04,
"9,32,1,1,0,16,64,32",1.64E+05,
"9,32,1,1,0,16,96,32",2.29E+05,
"9,32,1,1,0,16,128,32",2.95E+05,
"9,32,1,1,0,16,160,32",3.60E+05,
"9,32,1,1,0,16,192,32",4.26E+05,
"9,32,1,1,0,16,224,32",4.92E+05,
"9,32,1,1,0,16,256,32",5.57E+05,
"9,32,1,1,0,16,288,32",6.23E+05,
"9,32,1,1,0,16,320,32",6.88E+05,
"9,32,1,1,0,16,352,32",5.49E+05,
"9,32,1,1,0,16,384,32",8.19E+05,
"9,32,1,1,0,9,32,32",1.64E+05,
"9,32,1,1,0,9,64,32",2.95E+05,
"9,32,1,1,0,9,96,32",4.26E+05,
"9,32,1,1,0,9,128,32",5.57E+05,
"9,32,1,1,0,9,160,32",6.88E+05,
"9,32,1,1,0,9,192,32",8.19E+05,
"9,32,1,1,0,9,224,32",9.50E+05,
"9,32,1,1,0,9,256,32",1.08E+06,
"9,32,1,1,0,9,288,32",1.21E+06,
"9,32,1,1,0,9,320,32",1.34E+06,
"9,32,1,1,0,9,352,32",1.07E+06,
"9,32,1,1,0,9,384,32",1.61E+06,
"9,32,1,1,0,8,32,32",1.64E+05,
"9,32,1,1,0,8,64,32",2.95E+05,
"9,32,1,1,0,8,96,32",4.26E+05,
"9,32,1,1,0,8,128,32",5.57E+05,
"9,32,1,1,0,8,160,32",6.88E+05,
"9,32,1,1,0,8,192,32",8.19E+05,
"9,32,1,1,0,8,224,32",9.50E+05,
"9,32,1,1,0,8,256,32",1.08E+06,
"9,32,1,1,0,8,288,32",1.21E+06,
"9,32,1,1,0,8,320,32",1.34E+06,
"9,32,1,1,0,8,352,32",1.07E+06,
"9,32,1,1,0,8,384,32",1.61E+06,
"9,32,1,1,0,4,32,32",2.95E+05,
"9,32,1,1,0,4,64,32",5.57E+05,
"9,32,1,1,0,4,96,32",8.19E+05,
"9,32,1,1,0,4,128,32",1.08E+06,
"9,32,1,1,0,4,160,32",1.34E+06,
"9,32,1,1,0,4,192,32",1.61E+06,
"9,32,1,1,0,4,224,32",1.87E+06,
"9,32,1,1,0,4,256,32",2.13E+06,
"9,32,1,1,0,4,288,32",2.39E+06,
"9,32,1,1,0,4,320,32",2.65E+06,
"9,32,1,1,0,4,352,32",2.10E+06,
"9,32,1,1,0,4,384,32",3.18E+06,
"9,16,1,1,0,16,32,32",2.46E+04,
"9,16,1,1,0,16,64,32",4.10E+04,
"9,16,1,1,0,16,96,32",5.73E+04,
"9,16,1,1,0,16,128,32",7.37E+04,
"9,16,1,1,0,16,160,32",9.01E+04,
"9,16,1,1,0,16,192,32",1.07E+05,
"9,16,1,1,0,16,224,32",1.23E+05,
"9,16,1,1,0,16,256,32",1.39E+05,
"9,16,1,1,0,16,288,32",1.56E+05,
"9,16,1,1,0,16,320,32",1.72E+05,
"9,16,1,1,0,16,352,32",1.37E+05,
"9,16,1,1,0,16,384,32",2.05E+05,
"9,16,1,1,0,9,32,32",4.10E+04,
"9,16,1,1,0,9,64,32",7.37E+04,
"9,16,1,1,0,9,96,32",1.07E+05,
"9,16,1,1,0,9,128,32",1.39E+05,
"9,16,1,1,0,9,160,32",1.72E+05,
"9,16,1,1,0,9,192,32",2.05E+05,
"9,16,1,1,0,9,224,32",2.38E+05,
"9,16,1,1,0,9,256,32",2.70E+05,
"9,16,1,1,0,9,288,32",3.03E+05,
"9,16,1,1,0,9,320,32",3.36E+05,
"9,16,1,1,0,9,352,32",2.66E+05,
"9,16,1,1,0,9,384,32",4.01E+05,
"9,16,1,1,0,8,32,32",4.10E+04,
"9,16,1,1,0,8,64,32",7.37E+04,
"9,16,1,1,0,8,96,32",1.07E+05,
"9,16,1,1,0,8,128,32",1.39E+05,
"9,16,1,1,0,8,160,32",1.72E+05,
"9,16,1,1,0,8,192,32",2.05E+05,
"9,16,1,1,0,8,224,32",2.38E+05,
"9,16,1,1,0,8,256,32",2.70E+05,
"9,16,1,1,0,8,288,32",3.03E+05,
"9,16,1,1,0,8,320,32",3.36E+05,
"9,16,1,1,0,8,352,32",2.66E+05,
"9,16,1,1,0,8,384,32",4.01E+05,
"9,16,1,1,0,4,32,32",7.37E+04,
"9,16,1,1,0,4,64,32",1.39E+05,
"9,16,1,1,0,4,96,32",2.05E+05,
"9,16,1,1,0,4,128,32",2.70E+05,
"9,16,1,1,0,4,160,32",3.36E+05,
"9,16,1,1,0,4,192,32",4.01E+05,
"9,16,1,1,0,4,224,32",4.67E+05,
"9,16,1,1,0,4,256,32",5.32E+05,
"9,16,1,1,0,4,288,32",5.98E+05,
"9,16,1,1,0,4,320,32",6.64E+05,
"9,16,1,1,0,4,352,32",5.24E+05,
"9,16,1,1,0,4,384,32",7.95E+05,
"9,8,1,1,0,16,32,32",6.14E+03,
"9,8,1,1,0,16,64,32",1.02E+04,
"9,8,1,1,0,16,96,32",1.43E+04,
"9,8,1,1,0,16,128,32",1.84E+04,
"9,8,1,1,0,16,160,32",2.25E+04,
"9,8,1,1,0,16,192,32",2.66E+04,
"9,8,1,1,0,16,224,32",3.07E+04,
"9,8,1,1,0,16,256,32",3.48E+04,
"9,8,1,1,0,16,288,32",3.89E+04,
"9,8,1,1,0,16,320,32",4.30E+04,
"9,8,1,1,0,16,352,32",3.43E+04,
"9,8,1,1,0,16,384,32",5.12E+04,
"9,8,1,1,0,9,32,32",1.02E+04,
"9,8,1,1,0,9,64,32",1.84E+04,
"9,8,1,1,0,9,96,32",2.66E+04,
"9,8,1,1,0,9,128,32",3.48E+04,
"9,8,1,1,0,9,160,32",4.30E+04,
"9,8,1,1,0,9,192,32",5.12E+04,
"9,8,1,1,0,9,224,32",5.94E+04,
"9,8,1,1,0,9,256,32",6.76E+04,
"9,8,1,1,0,9,288,32",7.58E+04,
"9,8,1,1,0,9,320,32",8.40E+04,
"9,8,1,1,0,9,352,32",6.66E+04,
"9,8,1,1,0,9,384,32",1.00E+05,
"9,8,1,1,0,8,32,32",1.02E+04,
"9,8,1,1,0,8,64,32",1.84E+04,
"9,8,1,1,0,8,96,32",2.66E+04,
"9,8,1,1,0,8,128,32",3.48E+04,
"9,8,1,1,0,8,160,32",4.30E+04,
"9,8,1,1,0,8,192,32",5.12E+04,
"9,8,1,1,0,8,224,32",5.94E+04,
"9,8,1,1,0,8,256,32",6.76E+04,
"9,8,1,1,0,8,288,32",7.58E+04,
"9,8,1,1,0,8,320,32",8.40E+04,
"9,8,1,1,0,8,352,32",6.66E+04,
"9,8,1,1,0,8,384,32",1.00E+05,
"9,8,1,1,0,4,32,32",1.84E+04,
"9,8,1,1,0,4,64,32",3.48E+04,
"9,8,1,1,0,4,96,32",5.12E+04,
"9,8,1,1,0,4,128,32",6.76E+04,
"9,8,1,1,0,4,160,32",8.40E+04,
"9,8,1,1,0,4,192,32",1.00E+05,
"9,8,1,1,0,4,224,32",1.17E+05,
"9,8,1,1,0,4,256,32",1.33E+05,
"9,8,1,1,0,4,288,32",1.50E+05,
"9,8,1,1,0,4,320,32",1.66E+05,
"9,8,1,1,0,4,352,32",1.31E+05,
"9,8,1,1,0,4,384,32",1.99E+05,
"9,4,1,1,0,16,32,32",1.54E+03,
"9,4,1,1,0,16,64,32",2.56E+03,
"9,4,1,1,0,16,96,32",3.58E+03,
"9,4,1,1,0,16,128,32",4.61E+03,
"9,4,1,1,0,16,160,32",5.63E+03,
"9,4,1,1,0,16,192,32",6.66E+03,
"9,4,1,1,0,16,224,32",7.68E+03,
"9,4,1,1,0,16,256,32",8.70E+03,
"9,4,1,1,0,16,288,32",9.73E+03,
"9,4,1,1,0,16,320,32",1.08E+04,
"9,4,1,1,0,16,352,32",8.58E+03,
"9,4,1,1,0,16,384,32",1.28E+04,
"9,4,1,1,0,9,32,32",2.56E+03,
"9,4,1,1,0,9,64,32",4.61E+03,
"9,4,1,1,0,9,96,32",6.66E+03,
"9,4,1,1,0,9,128,32",8.70E+03,
"9,4,1,1,0,9,160,32",1.08E+04,
"9,4,1,1,0,9,192,32",1.28E+04,
"9,4,1,1,0,9,224,32",1.48E+04,
"9,4,1,1,0,9,256,32",1.69E+04,
"9,4,1,1,0,9,288,32",1.89E+04,
"9,4,1,1,0,9,320,32",2.10E+04,
"9,4,1,1,0,9,352,32",1.66E+04,
"9,4,1,1,0,9,384,32",2.51E+04,
"9,4,1,1,0,8,32,32",2.56E+03,
"9,4,1,1,0,8,64,32",4.61E+03,
"9,4,1,1,0,8,96,32",6.66E+03,
"9,4,1,1,0,8,128,32",8.70E+03,
"9,4,1,1,0,8,160,32",1.08E+04,
"9,4,1,1,0,8,192,32",1.28E+04,
"9,4,1,1,0,8,224,32",1.48E+04,
"9,4,1,1,0,8,256,32",1.69E+04,
"9,4,1,1,0,8,288,32",1.89E+04,
"9,4,1,1,0,8,320,32",2.10E+04,
"9,4,1,1,0,8,352,32",1.66E+04,
"9,4,1,1,0,8,384,32",2.51E+04,
"9,4,1,1,0,4,32,32",4.61E+03,
"9,4,1,1,0,4,64,32",8.70E+03,
"9,4,1,1,0,4,96,32",1.28E+04,
"9,4,1,1,0,4,128,32",1.69E+04,
"9,4,1,1,0,4,160,32",2.10E+04,
"9,4,1,1,0,4,192,32",2.51E+04,
"9,4,1,1,0,4,224,32",2.92E+04,
"9,4,1,1,0,4,256,32",3.33E+04,
"9,4,1,1,0,4,288,32",3.74E+04,
"9,4,1,1,0,4,320,32",4.15E+04,
"9,4,1,1,0,4,352,32",3.28E+04,
"9,4,1,1,0,4,384,32",4.97E+04,
"9,2,1,1,0,16,32,32",1.06E+03,
"9,2,1,1,0,16,64,32",2.08E+03,
"9,2,1,1,0,16,96,32",3.12E+03,
"9,2,1,1,0,16,128,32",4.16E+03,
"9,2,1,1,0,16,160,32",5.16E+03,
"9,2,1,1,0,16,192,32",6.21E+03,
"9,2,1,1,0,16,224,32",7.23E+03,
"9,2,1,1,0,16,256,32",8.26E+03,
"9,2,1,1,0,16,288,32",9.31E+03,
"9,2,1,1,0,16,320,32",1.04E+04,
"9,2,1,1,0,16,352,32",8.13E+03,
"9,2,1,1,0,16,384,32",1.24E+04,
"9,2,1,1,0,9,32,32",1.09E+03,
"9,2,1,1,0,9,64,32",2.11E+03,
"9,2,1,1,0,9,96,32",3.14E+03,
"9,2,1,1,0,9,128,32",4.16E+03,
"9,2,1,1,0,9,160,32",5.18E+03,
"9,2,1,1,0,9,192,32",6.21E+03,
"9,2,1,1,0,9,224,32",7.23E+03,
"9,2,1,1,0,9,256,32",8.26E+03,
"9,2,1,1,0,9,288,32",9.31E+03,
"9,2,1,1,0,9,320,32",1.04E+04,
"9,2,1,1,0,9,352,32",8.13E+03,
"9,2,1,1,0,9,384,32",1.24E+04,
"9,2,1,1,0,8,32,32",1.09E+03,
"9,2,1,1,0,8,64,32",2.11E+03,
"9,2,1,1,0,8,96,32",3.14E+03,
"9,2,1,1,0,8,128,32",4.16E+03,
"9,2,1,1,0,8,160,32",5.18E+03,
"9,2,1,1,0,8,192,32",6.21E+03,
"9,2,1,1,0,8,224,32",7.23E+03,
"9,2,1,1,0,8,256,32",8.26E+03,
"9,2,1,1,0,8,288,32",9.31E+03,
"9,2,1,1,0,8,320,32",1.04E+04,
"9,2,1,1,0,8,352,32",8.13E+03,
"9,2,1,1,0,8,384,32",1.24E+04,
"9,2,1,1,0,4,32,32",1.15E+03,
"9,2,1,1,0,4,64,32",2.18E+03,
"9,2,1,1,0,4,96,32",3.20E+03,
"9,2,1,1,0,4,128,32",4.22E+03,
"9,2,1,1,0,4,160,32",5.25E+03,
"9,2,1,1,0,4,192,32",6.27E+03,
"9,2,1,1,0,4,224,32",7.30E+03,
"9,2,1,1,0,4,256,32",8.32E+03,
"9,2,1,1,0,4,288,32",9.34E+03,
"9,2,1,1,0,4,320,32",1.04E+04,
"9,2,1,1,0,4,352,32",8.19E+03,
"9,2,1,1,0,4,384,32",1.24E+04,
"9,1,1,1,0,16,32,32",1.04E+03,
"9,1,1,1,0,16,64,32",2.06E+03,
"9,1,1,1,0,16,96,32",3.09E+03,
"9,1,1,1,0,16,128,32",4.16E+03,
"9,1,1,1,0,16,160,32",5.16E+03,
"9,1,1,1,0,16,192,32",6.19E+03,
"9,1,1,1,0,16,224,32",7.22E+03,
"9,1,1,1,0,16,256,32",8.26E+03,
"9,1,1,1,0,16,288,32",9.25E+03,
"9,1,1,1,0,16,320,32",1.03E+04,
"9,1,1,1,0,16,352,32",8.10E+03,
"9,1,1,1,0,16,384,32",1.23E+04,
"9,1,1,1,0,9,32,32",1.04E+03,
"9,1,1,1,0,9,64,32",2.06E+03,
"9,1,1,1,0,9,96,32",3.09E+03,
"9,1,1,1,0,9,128,32",4.16E+03,
"9,1,1,1,0,9,160,32",5.16E+03,
"9,1,1,1,0,9,192,32",6.19E+03,
"9,1,1,1,0,9,224,32",7.22E+03,
"9,1,1,1,0,9,256,32",8.26E+03,
"9,1,1,1,0,9,288,32",9.26E+03,
"9,1,1,1,0,9,320,32",1.03E+04,
"9,1,1,1,0,9,352,32",8.11E+03,
"9,1,1,1,0,9,384,32",1.23E+04,
"9,1,1,1,0,8,32,32",1.04E+03,
"9,1,1,1,0,8,64,32",2.06E+03,
"9,1,1,1,0,8,96,32",3.09E+03,
"9,1,1,1,0,8,128,32",4.16E+03,
"9,1,1,1,0,8,160,32",5.16E+03,
"9,1,1,1,0,8,192,32",6.19E+03,
"9,1,1,1,0,8,224,32",7.22E+03,
"9,1,1,1,0,8,256,32",8.26E+03,
"9,1,1,1,0,8,288,32",9.26E+03,
"9,1,1,1,0,8,320,32",1.03E+04,
"9,1,1,1,0,8,352,32",8.11E+03,
"9,1,1,1,0,8,384,32",1.23E+04,
"9,1,1,1,0,4,32,32",1.04E+03,
"9,1,1,1,0,4,64,32",2.06E+03,
"9,1,1,1,0,4,96,32",3.09E+03,
"9,1,1,1,0,4,128,32",4.13E+03,
"9,1,1,1,0,4,160,32",5.15E+03,
"9,1,1,1,0,4,192,32",6.18E+03,
"9,1,1,1,0,4,224,32",7.20E+03,
"9,1,1,1,0,4,256,32",8.22E+03,
"9,1,1,1,0,4,288,32",9.25E+03,
"9,1,1,1,0,4,320,32",1.03E+04,
"9,1,1,1,0,4,352,32",8.10E+03,
"9,1,1,1,0,4,384,32",1.23E+04,
"13,32,32,10,16",0.00E+00,
"13,32,32,10,9",0.00E+00,
"13,32,32,10,8",0.00E+00,
"13,32,32,10,4",0.00E+00,
"13,32,96,10,16",0.00E+00,
"13,32,96,10,9",0.00E+00,
"13,32,96,10,8",0.00E+00,
"13,32,96,10,4",0.00E+00,
"13,32,256,10,16",0.00E+00,
"13,32,256,10,9",0.00E+00,
"13,32,256,10,8",0.00E+00,
"13,32,256,10,4",0.00E+00,
"13,32,96,100,16",0.00E+00,
"13,32,96,100,9",0.00E+00,
"13,32,96,100,8",0.00E+00,
"13,32,96,100,4",0.00E+00,
"13,32,256,100,16",0.00E+00,
"13,32,256,100,9",0.00E+00,
"13,32,256,100,8",0.00E+00,
"13,32,256,100,4",0.00E+00,
"7,32,3,1,1,16,3,96",0.00E+00,
"7,32,3,1,1,9,3,96",0.00E+00,
"7,32,3,1,1,8,3,96",0.00E+00,
"7,32,3,1,1,4,3,96",0.00E+00,
"7,16,3,1,1,16,3,96",0.00E+00,
"7,16,3,1,1,9,3,96",0.00E+00,
"7,16,3,1,1,8,3,96",0.00E+00,
"7,16,3,1,1,4,3,96",0.00E+00,
"7,8,3,1,1,16,3,96",0.00E+00,
"7,8,3,1,1,9,3,96",0.00E+00,
"7,8,3,1,1,8,3,96",0.00E+00,
"7,8,3,1,1,4,3,96",0.00E+00,
"7,4,3,1,1,16,3,96",0.00E+00,
"7,4,3,1,1,9,3,96",0.00E+00,
"7,4,3,1,1,8,3,96",0.00E+00,
"7,4,3,1,1,4,3,96",0.00E+00,
"7,2,3,1,1,16,3,96",0.00E+00,
"7,2,3,1,1,9,3,96",0.00E+00,
"7,2,3,1,1,8,3,96",0.00E+00,
"7,2,3,1,1,4,3,96",0.00E+00,
"7,1,3,1,1,16,3,96",0.00E+00,
"7,1,3,1,1,9,3,96",0.00E+00,
"7,1,3,1,1,8,3,96",0.00E+00,
"7,1,3,1,1,4,3,96",0.00E+00,
"7,32,3,1,1,16,3,256",0.00E+00,
"7,32,3,1,1,9,3,256",0.00E+00,
"7,32,3,1,1,8,3,256",0.00E+00,
"7,32,3,1,1,4,3,256",0.00E+00,
"7,16,3,1,1,16,3,256",0.00E+00,
"7,16,3,1,1,9,3,256",0.00E+00,
"7,16,3,1,1,8,3,256",0.00E+00,
"7,16,3,1,1,4,3,256",0.00E+00,
"7,8,3,1,1,16,3,256",0.00E+00,
"7,8,3,1,1,9,3,256",0.00E+00,
"7,8,3,1,1,8,3,256",0.00E+00,
"7,8,3,1,1,4,3,256",0.00E+00,
"7,4,3,1,1,16,3,256",0.00E+00,
"7,4,3,1,1,9,3,256",0.00E+00,
"7,4,3,1,1,8,3,256",0.00E+00,
